payment_id,customer_id,payment_date,amount,plan_type,payment_status
1,1,2024-10-12,49.78,Starter,Paid
2,1,2024-11-11,49.22,Starter,Paid
3,1,2024-12-11,48.06,Starter,Paid
4,1,2025-01-10,47.52,Starter,Paid
5,1,2025-02-09,-47.23,Starter,Refunded
6,1,2025-03-11,50.65,Starter,Paid
7,1,2025-04-10,50.86,Starter,Paid
8,1,2025-05-10,49.81,Starter,Paid
9,1,2025-06-09,51.31,Starter,Paid
10,1,2025-07-09,46.77,Starter,Paid
11,1,2025-08-08,46.57,Starter,Paid
12,1,2025-09-07,51.38,Scale,Paid
13,1,2025-10-07,582.1,Scale,Paid
14,1,2025-11-06,574.08,Scale,Paid
15,1,2025-12-06,583.92,Scale,Paid
16,1,2026-01-05,617.99,Scale,Paid
17,1,2026-02-04,592.65,Scale,Paid
18,1,2026-03-06,574.11,Scale,Failed
19,1,2026-04-05,578.35,Scale,Paid
20,1,2026-05-05,604.78,Scale,Paid
21,1,2026-06-04,598.65,Scale,Paid
22,2,2024-03-04,47.26,Starter,Paid
23,2,2024-04-03,49.06,Starter,Paid
24,2,2024-05-03,49.03,Starter,Paid
25,2,2024-06-02,49.34,Growth,Paid
26,2,2024-07-02,190.74,Growth,Paid
27,2,2024-08-01,208.14,Growth,Paid
28,2,2024-08-31,190.06,Growth,Paid
29,2,2024-09-30,193.92,Growth,Paid
30,2,2024-10-30,190.45,Growth,Failed
31,2,2024-11-29,190.88,Growth,Paid
32,2,2024-12-29,198.48,Growth,Paid
33,2,2025-01-28,193.72,Growth,Paid
34,2,2025-02-27,201.98,Growth,Paid
35,2,2025-03-29,190.58,Growth,Paid
36,2,2025-04-28,189.98,Growth,Paid
37,2,2025-05-28,200.98,Growth,Paid
38,2,2025-06-27,202.84,Growth,Paid
39,2,2025-07-27,198.65,Growth,Paid
40,2,2025-08-26,191.03,Growth,Paid
41,2,2025-09-25,203.16,Growth,Paid
42,2,2025-10-25,-204.32,Growth,Refunded
43,2,2025-11-24,195.25,Growth,Paid
44,2,2025-12-24,194.81,Growth,Paid
45,2,2026-01-23,-208.84,Growth,Refunded
46,2,2026-02-22,207.29,Growth,Failed
47,2,2026-03-24,190.85,Growth,Paid
