ticket_id,customer_id,opened_date,closed_date,priority,category,resolution_status
1,1,2026-04-04,2026-04-10,Medium,Feature Request,Escalated
2,1,2026-02-08,2026-02-09,High,Feature Request,Closed - No Fix
3,1,2026-04-18,2026-04-29,Medium,Onboarding,Closed - No Fix
4,1,2025-07-04,,Medium,Billing,Open
5,2,2024-04-08,,High,Billing,Open
6,2,2025-02-18,2025-03-03,Urgent,Billing,Closed - No Fix
7,2,2025-07-29,2025-08-02,Urgent,Bug Report,Closed - No Fix
8,3,2025-03-21,2025-03-25,Low,Account Access,Closed - No Fix
9,3,2024-09-10,,Low,Onboarding,Open
10,3,2025-05-24,,Low,Onboarding,Open
11,4,2025-02-16,2025-03-02,Medium,Onboarding,Resolved
12,5,2024-11-12,2024-11-19,Medium,Billing,Escalated
13,5,2024-12-12,2024-12-17,Medium,Billing,Resolved
14,5,2024-08-19,2024-08-26,Medium,Account Access,Escalated
15,5,2024-07-22,2024-07-27,Urgent,Onboarding,Resolved
16,6,2026-01-14,2026-01-25,Medium,Bug Report,Closed - No Fix
17,6,2025-10-24,2025-10-27,High,Account Access,Closed - No Fix
18,8,2025-04-27,2025-05-05,High,Bug Report,Resolved
19,8,2025-07-19,2025-08-02,Medium,Billing,Closed - No Fix
20,9,2025-02-21,2025-02-25,Medium,Feature Request,Resolved
21,9,2026-05-23,2026-06-05,Urgent,Bug Report,Closed - No Fix
22,9,2025-03-28,2025-04-01,Medium,Onboarding,Escalated
23,9,2024-12-21,,Low,Feature Request,Open
24,9,2026-02-05,2026-02-10,Urgent,Billing,Resolved
25,10,2025-09-26,2025-09-28,Medium,Feature Request,Escalated
26,10,2025-09-18,2025-09-22,Low,Bug Report,Closed - No Fix
27,11,2025-06-10,2025-06-12,Medium,Onboarding,Resolved
28,11,2025-02-18,,Low,Billing,Open
29,11,2026-02-03,,Medium,Onboarding,Open
30,12,2026-01-13,2026-01-23,Medium,Account Access,Resolved
31,12,2025-11-27,2025-12-06,Low,Billing,Closed - No Fix
32,12,2026-05-30,2026-05-31,Medium,Feature Request,Resolved
33,13,2025-10-26,2025-10-29,Low,Feature Request,Closed - No Fix
34,13,2025-05-05,2025-05-16,Medium,Onboarding,Closed - No Fix
35,13,2026-05-19,2026-05-30,High,Billing,Closed - No Fix
36,16,2024-05-11,2024-05-19,Medium,Onboarding,Closed - No Fix
37,17,2026-02-21,2026-03-07,Medium,Billing,Closed - No Fix
38,19,2025-02-28,2025-03-05,Low,Onboarding,Escalated
39,19,2025-04-03,2025-04-04,Low,Bug Report,Resolved
40,20,2025-08-18,,Low,Billing,Open
41,20,2025-11-27,2025-12-06,Low,Account Access,Escalated
42,20,2025-11-22,,Medium,Billing,Open
