event_id,customer_id,event_date,event_type,feature_name
1,1,2026-04-09,Integration Connected,
2,1,2025-12-09,Report Exported,
3,1,2025-02-25,Feature Use,Alerts
4,1,2024-12-18,Dashboard Created,
5,1,2024-12-19,Integration Connected,
6,1,2024-10-15,Integration Connected,
7,2,2024-10-31,Integration Connected,
8,2,2025-05-20,Dashboard Created,
9,2,2024-10-09,Integration Connected,
10,2,2026-03-20,Report Exported,
11,2,2026-05-17,Feature Use,Reports
12,2,2024-10-17,Feature Use,Team Sharing
13,2,2024-07-09,Report Exported,
14,2,2024-04-07,Dashboard Created,
15,2,2024-12-23,Feature Use,Data Import
16,2,2026-02-23,Dashboard Created,
17,2,2025-11-21,Report Exported,
18,2,2026-03-03,Login,
19,2,2026-05-03,Integration Connected,
20,2,2025-11-13,Integration Connected,
21,3,2026-03-22,Feature Use,Reports
22,3,2025-05-20,Login,
23,3,2025-07-11,Integration Connected,
24,3,2024-09-26,Report Exported,
25,3,2024-07-31,Integration Connected,
26,3,2024-09-19,Login,
27,3,2025-06-05,Feature Use,Dashboards
28,3,2025-10-19,Feature Use,API Access
29,4,2025-12-28,Login,
30,4,2025-10-30,Integration Connected,
31,4,2026-02-19,Integration Connected,
32,4,2024-09-02,Login,
33,4,2026-02-01,Dashboard Created,
34,4,2024-11-21,Dashboard Created,
35,4,2025-03-17,Report Exported,
36,4,2026-05-06,Report Exported,
37,5,2024-11-27,Integration Connected,
38,5,2024-09-11,Feature Use,Team Sharing
39,5,2024-09-06,Report Exported,
40,5,2024-12-09,Integration Connected,
41,5,2024-07-22,Feature Use,Reports
42,5,2024-07-22,Integration Connected,
43,5,2024-09-21,Dashboard Created,
44,5,2024-10-18,Login,
45,5,2024-09-23,Login,
46,6,2024-06-07,Dashboard Created,
47,6,2025-03-18,Integration Connected,
48,6,2025-10-07,Dashboard Created,
49,6,2024-10-01,Login,
50,6,2026-05-16,Report Exported,
51,6,2025-08-10,Report Exported,
52,6,2025-12-17,Report Exported,
53,6,2024-04-26,Dashboard Created,
54,6,2025-09-24,Feature Use,API Access
55,6,2025-05-22,Integration Connected,
56,6,2025-05-23,Feature Use,Alerts
57,6,2025-11-04,Feature Use,Dashboards
58,6,2025-03-31,Feature Use,Alerts
59,7,2025-03-29,Login,
60,7,2026-02-22,Login,
61,7,2025-12-05,Feature Use,Data Import
62,7,2025-04-01,Report Exported,
63,7,2025-04-06,Integration Connected,
64,7,2025-07-12,Login,
65,7,2024-09-28,Login,
66,7,2025-09-09,Feature Use,API Access
67,7,2024-09-25,Integration Connected,
68,7,2025-06-09,Integration Connected,
69,7,2025-09-10,Feature Use,Team Sharing
70,7,2025-08-01,Report Exported,
71,7,2025-07-22,Login,
72,7,2024-10-27,Feature Use,Data Import
73,7,2025-09-10,Dashboard Created,
74,7,2024-10-12,Dashboard Created,
75,8,2025-01-11,Report Exported,
76,8,2025-01-16,Feature Use,Alerts
77,8,2026-01-24,Dashboard Created,
78,8,2024-12-22,Report Exported,
79,8,2025-08-21,Dashboard Created,
80,8,2025-02-07,Login,
81,8,2026-03-23,Integration Connected,
82,8,2025-06-13,Integration Connected,
83,8,2025-11-01,Feature Use,Alerts
84,8,2025-06-13,Login,
85,8,2025-04-14,Report Exported,
86,8,2026-03-14,Dashboard Created,
87,8,2025-10-27,Feature Use,API Access
88,8,2025-02-13,Feature Use,Dashboards
89,8,2025-01-20,Feature Use,Data Import
90,8,2026-05-21,Integration Connected,
91,9,2024-12-22,Login,
92,9,2025-02-20,Dashboard Created,
93,9,2025-01-07,Feature Use,Team Sharing
94,9,2026-05-25,Login,
95,9,2025-10-21,Report Exported,
96,9,2026-06-20,Dashboard Created,
97,9,2026-04-04,Feature Use,Dashboards
98,9,2025-07-31,Feature Use,Alerts
99,9,2025-12-20,Login,
100,9,2025-03-04,Integration Connected,
101,10,2025-05-16,Feature Use,API Access
102,10,2025-11-01,Integration Connected,
103,10,2025-10-24,Login,
104,10,2025-12-29,Login,
105,10,2025-11-08,Feature Use,API Access
106,10,2025-07-13,Dashboard Created,
107,10,2025-11-09,Integration Connected,
108,10,2025-05-24,Login,
109,10,2025-11-22,Integration Connected,
110,10,2025-09-24,Login,
111,10,2025-07-13,Feature Use,Dashboards
112,10,2025-09-29,Integration Connected,
113,10,2025-07-05,Login,
114,10,2025-07-15,Login,
115,10,2025-06-23,Login,
116,10,2025-04-01,Dashboard Created,
117,10,2025-04-06,Dashboard Created,
118,10,2025-07-14,Feature Use,Data Import
119,11,2026-04-02,Report Exported,
120,11,2025-03-17,Feature Use,API Access
121,11,2025-02-21,Dashboard Created,
122,11,2025-05-20,Login,
123,12,2025-12-24,Integration Connected,
124,12,2025-12-29,Integration Connected,
125,12,2026-03-29,Report Exported,
126,12,2025-12-15,Integration Connected,
127,12,2026-06-07,Dashboard Created,
128,12,2026-07-01,Login,
129,13,2026-05-21,Login,
130,13,2025-12-21,Login,
131,13,2025-11-24,Integration Connected,
132,13,2026-01-23,Integration Connected,
133,13,2026-01-10,Integration Connected,
134,14,2026-06-28,Login,
135,14,2026-06-25,Integration Connected,
136,14,2026-06-22,Report Exported,
137,14,2026-06-12,Dashboard Created,
138,14,2026-06-25,Login,
139,15,2026-05-07,Feature Use,Dashboards
140,15,2025-12-15,Integration Connected,
141,15,2026-05-24,Dashboard Created,
142,15,2025-12-21,Login,
143,15,2026-04-28,Feature Use,Data Import
144,15,2026-02-15,Login,
145,15,2026-04-03,Login,
146,15,2026-03-17,Integration Connected,
147,15,2026-01-27,Login,
148,15,2025-11-20,Feature Use,Dashboards
149,15,2025-11-20,Report Exported,
150,15,2026-01-07,Report Exported,
151,16,2024-07-04,Feature Use,API Access
152,16,2024-07-24,Feature Use,Dashboards
153,16,2024-03-15,Login,
154,16,2024-02-26,Login,
155,16,2024-05-23,Integration Connected,
156,16,2024-08-19,Dashboard Created,
157,16,2024-08-30,Integration Connected,
158,16,2024-05-21,Login,
159,17,2025-12-27,Login,
160,17,2026-06-23,Login,
161,17,2026-06-11,Feature Use,API Access
162,17,2026-01-05,Feature Use,Team Sharing
163,17,2026-03-07,Dashboard Created,
164,17,2026-02-25,Feature Use,Alerts
165,17,2026-03-08,Report Exported,
166,17,2025-12-29,Report Exported,
167,17,2026-03-29,Login,
168,17,2026-02-01,Dashboard Created,
169,17,2026-02-01,Dashboard Created,
170,17,2026-05-30,Report Exported,
